0,1,2,3
1.0,0.0,0.0,0.050045604609464465
0.0,-1.0,0.0,-0.09807621118808339
0.0,0.0,-1.0,0.9934639443606101
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.05047338176316122
0.0,-1.0,0.0,-0.09866290687130667
0.0,0.0,-1.0,0.9933896133474831
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.05136874440147718
0.0,-1.0,0.0,-0.09952228952387027
0.0,0.0,-1.0,0.9932522969570199
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.05213787919114208
0.0,-1.0,0.0,-0.10023600606908539
0.0,0.0,-1.0,0.993138756044199
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.053353995316595876
0.0,-1.0,0.0,-0.10099399884576987
0.0,0.0,-1.0,0.9930032580388022
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.05380461094067124
0.0,-1.0,0.0,-0.10087057428419705
0.0,0.0,-1.0,0.9929938973379286
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.05503656801149672
0.0,-1.0,0.0,-0.10167492902276778
0.0,0.0,-1.0,0.9928435764489166
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.057294864791180775
0.0,-1.0,0.0,-0.10213250637830468
0.0,0.0,-1.0,0.9926764389725931
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.05960726815833452
0.0,-1.0,0.0,-0.10348012483467348
0.0,0.0,-1.0,0.9923986073869233
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.06132220176860144
0.0,-1.0,0.0,-0.10384676973828214
0.0,0.0,-1.0,0.9922644249043501
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.06511670430744874
0.0,-1.0,0.0,-0.1047133906170698
0.0,0.0,-1.0,0.991926514969603
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.06753178499338913
0.0,-1.0,0.0,-0.10564226523948528
0.0,0.0,-1.0,0.991655117400541
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.07009822535075091
0.0,-1.0,0.0,-0.10494808334904797
0.0,0.0,-1.0,0.9915526815255142
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.07393096760222506
0.0,-1.0,0.0,-0.10526027286626807
