,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
0,2025-10-22 20:54:38.844189,0.01124262623488903,0.1281893253326416,0.9915306568145752,108.98669930901377,59.85777281039266,-3.1554436208840472e-30,62,157,157,150,-0.72278166,7.552018,0.63534546,469,449,298,168,0,0.0,0.0,0.0,106.92480555494502,58.01773028849849,0.0,111.0485930630825,61.69781533228682,-6.310887241768095e-30,1,1
1,2025-10-22 20:54:38.898974,0.011829514987766743,0.12704873085021973,0.9915306568145752,276.98516845703125,42.98195266723633,0.0,60,155,155,146,-1.7891891,4.57393,0.32664347,472,452,298,168,0,-182.11699312305657,45.04401916775929,489.73097245779934,283.1990344237174,40.310589841388776,0.0,287.3228219318549,43.99067488517709,0.0,1,1
2,2025-10-22 20:54:38.949645,0.01800837367773056,0.12704873085021973,0.9915306568145752,290.7111511230469,41.13914489746094,0.0,59,158,156,149,-2.6846116,5.4232464,0.7391629,472,450,298,168,0,-181.768292333795,44.88137327254918,489.8792765316924,279.7958146750261,40.12894116069891,0.0,283.91960218316365,43.80902620448725,0.0,1,1
3,2025-10-22 20:54:39.004408,0.01800837367773056,0.006767694838345051,0.9997478127479553,289.0357971191406,89.67831420898438,0.0,60,157,156,149,-2.6987023,4.8284416,0.73925185,472,451,298,168,0,-181.70783364594163,45.24817413728655,489.86745377629353,279.80869775517937,99.94979470679247,0.0,283.93248526331683,103.62987975058081,0.0,1,1
4,2025-10-22 20:54:39.058218,0.01800837367773056,0.006767694838345051,0.9998046159744263,286.7452087402344,105.42878723144531,0.0,60,157,157,149,-2.3714952,4.9420586,1.1285031,471,451,298,168,0,-181.79526309828458,45.464111622924534,489.81314913547914,279.89760666319285,100.16628818403105,0.0,284.0213941713303,103.84637322781937,0.0,1,1
5,2025-10-22 20:54:39.107189,0.01800837367773056,0.006767694838345051,0.9998046159744263,284.69378662109375,109.03445434570312,0.0,60,155,156,147,-1.4097099,4.7231226,0.49008703,471,452,298,168,0,-181.60976824631334,45.44340241516878,489.8839086829018,279.7108372978308,100.14510000366784,0.0,283.83462480596825,103.82518504745617,0.0,1,1
6,2025-10-22 20:54:39.159630,0.013494051992893219,0.00895602535456419,0.9997478127479553,284.9893798828125,107.04161071777344,0.0,59,157,156,148,-3.0491362,4.072443,0.74197006,471,450,298,168,0,-181.8751597007145,44.969921220557914,489.8277778376782,282.1885364358884,98.59963490952416,0.0,286.3123239440259,102.2797199533125,0.0,1,1
7,2025-10-22 20:54:39.210571,0.008659045211970806,0.016661014407873154,0.9998046159744263,286.93487548828125,101.92961120605469,0.0,59,157,155,148,-2.92254,4.3166237,0.79725003,472,450,298,168,0,-182.48000391858392,45.06909400643107,489.5932382992697,285.1645710127605,94.92811021522775,0.0,289.288358520898,98.6081952590161,0.0,1,1
8,2025-10-22 20:54:39.260990,0.008659045211970806,0.017767686396837234,0.9995675086975098,287.2726745605469,98.31881713867188,0.0,60,156,156,147,-1.7090988,4.4129734,0.3323164,471,452,298,168,0,-181.99355339917307,44.887401389617864,489.79567796309146,284.675360974285,94.19883027390769,0.0,288.7991484824225,97.87891531769601,0.0,1,1
9,2025-10-22 20:54:39.308699,0.009993861429393291,0.02923344448208809,0.9995638728141785,286.7603454589844,92.74909210205078,0.0,60,156,156,148,-2.4285002,4.527996,0.92932296,471,451,298,168,0,-181.99624849802063,45.06886162718736,489.776277252574,284.0241621390096,88.76249717885193,0.0,288.1479496471471,92.44258222264025,0.0,1,1
