type,condition,trial_id,operation_time_ms,mouse_distance_px,jump_offset_px,jump_trigger_time_ms,success,timestamp,predict,control,recover,disorient,accept
performance,Mid,0.0,1256.0617923736572,288.0,37.33630940518894,427.27088928222656,True,2026-01-16T16:13:02.258505,,,,,
performance,Mid,1.0,1499.5474815368652,825.0,32.01562118716424,422.23596572875977,True,2026-01-16T16:13:06.667365,,,,,
performance,Mid,2.0,1859.7466945648193,1036.0,57.07889277132134,412.8413200378418,True,2026-01-16T16:13:11.435811,,,,,
performance,Mid,3.0,1755.7528018951416,2400.0,46.51881339845203,440.0820732116699,True,2026-01-16T16:13:16.107014,,,,,
performance,Mid,4.0,1789.1209125518799,2389.0,51.97114584074513,400.4983901977539,True,2026-01-16T16:13:20.819638,,,,,
performance,Mid,5.0,1999.2024898529053,237.0,43.32435804486894,501.4162063598633,True,2026-01-16T16:13:25.729436,,,,,
performance,Mid,6.0,2272.9973793029785,2706.0,43.32435804486894,400.1729488372803,True,2026-01-16T16:13:30.913640,,,,,
performance,Mid,7.0,1162.7168655395508,293.0,37.0,284.26361083984375,True,2026-01-16T16:13:34.980720,,,,,
performance,Mid,8.0,1492.6841259002686,897.0,52.43090691567332,406.30292892456055,True,2026-01-16T16:13:39.380979,,,,,
performance,Mid,9.0,1491.4295673370361,296.0,34.88552708502482,439.3951892852783,True,2026-01-16T16:13:43.779942,,,,,
subjective,Mid,,,,,,,2026-01-16T16:14:30.946659,7.0,7.0,7.0,7.0,6.0
performance,Low,0.0,1491.7762279510498,2248.0,65.11528238439882,396.0907459259033,True,2026-01-16T16:14:39.198866,,,,,
performance,Low,1.0,1501.8460750579834,710.0,91.80958555619343,406.96072578430176,True,2026-01-16T16:14:43.600279,,,,,
performance,Low,2.0,1556.276798248291,710.0,66.48308055437865,453.646183013916,True,2026-01-16T16:14:48.070114,,,,,
performance,Low,3.0,2212.2912406921387,452.0,77.4919350642375,,True,2026-01-16T16:14:53.191990,,,,,
performance,Low,4.0,1723.3312129974365,2471.0,65.25335240430181,405.1644802093506,True,2026-01-16T16:14:57.824580,,,,,
performance,Low,5.0,1520.6358432769775,803.0,66.2117814289874,442.57473945617676,True,2026-01-16T16:15:02.256022,,,,,
performance,Low,6.0,1599.707841873169,2868.0,79.30952023559341,409.69204902648926,True,2026-01-16T16:15:06.767354,,,,,
performance,Low,7.0,2603.825330734253,274.0,85.58621384311844,725.853443145752,True,2026-01-16T16:15:12.287231,,,,,
performance,Low,8.0,2390.6824588775635,145.0,41.593268686170845,740.7124042510986,True,2026-01-16T16:15:17.583032,,,,,
performance,Low,9.0,2309.1416358947754,2747.0,73.92563831310488,514.2793655395508,True,2026-01-16T16:15:22.797961,,,,,
subjective,Low,,,,,,,2026-01-16T16:15:44.629772,7.0,7.0,7.0,7.0,7.0
performance,High,0.0,1536.2796783447266,122.0,7.211102550927978,809.8719120025635,True,2026-01-16T16:15:48.702629,,,,,
performance,High,1.0,924.9711036682129,1864.0,19.72308292331602,455.6763172149658,True,2026-01-16T16:15:52.544775,,,,,
performance,High,2.0,1201.4682292938232,259.0,8.06225774829855,418.9870357513428,True,2026-01-16T16:15:56.649303,,,,,
performance,High,3.0,1207.1552276611328,143.0,18.027756377319946,423.48170280456543,True,2026-01-16T16:16:00.760382,,,,,
performance,High,4.0,1644.2184448242188,252.0,25.0,409.3596935272217,True,2026-01-16T16:16:05.309258,,,,,
performance,High,5.0,2045.191764831543,384.0,26.419689627245813,691.4238929748535,True,2026-01-16T16:16:10.261149,,,,,
performance,High,6.0,1267.2600746154785,311.0,29.206163733020468,477.62107849121094,True,2026-01-16T16:16:14.433102,,,,,
performance,High,7.0,1191.2000179290771,305.0,20.591260281974,394.3898677825928,True,2026-01-16T16:16:18.537001,,,,,
performance,High,8.0,985.703706741333,2764.0,11.661903789690601,386.1260414123535,True,2026-01-16T16:16:22.433830,,,,,
performance,High,9.0,1134.7575187683105,3043.0,25.238858928247925,415.6522750854492,True,2026-01-16T16:16:26.489382,,,,,
subjective,High,,,,,,,2026-01-16T16:16:48.185953,7.0,7.0,7.0,1.0,7.0
