type,condition,trial_id,operation_time_ms,mouse_distance_px,jump_offset_px,jump_trigger_time_ms,success,timestamp,predict,control,recover,disorient,accept
performance,Mid,0.0,1011.2261772155762,2304.0,43.18564576337837,456.500768661499,True,2026-01-17T16:01:47.173760,,,,,
performance,Mid,1.0,1265.289306640625,496.0,49.49747468305833,439.5296573638916,True,2026-01-17T16:01:51.350525,,,,,
performance,Mid,2.0,1130.0244331359863,494.0,34.713109915419565,423.13170433044434,True,2026-01-17T16:01:55.390067,,,,,
performance,Mid,3.0,1077.7876377105713,489.0,31.240998703626616,464.2658233642578,True,2026-01-17T16:01:59.392154,,,,,
performance,Mid,4.0,1139.3063068389893,3451.0,50.00999900019995,412.77170181274414,True,2026-01-17T16:02:03.440872,,,,,
performance,Mid,5.0,1116.7314052581787,2982.0,54.20332093147061,425.04310607910156,True,2026-01-17T16:02:07.471746,,,,,
performance,Mid,6.0,1151.810884475708,620.0,48.507731342539614,428.48777770996094,True,2026-01-17T16:02:11.535567,,,,,
performance,Mid,7.0,1098.8304615020752,2330.0,41.19465984809196,399.7657299041748,True,2026-01-17T16:02:15.543111,,,,,
performance,Mid,8.0,974.3225574493408,801.0,38.948684188300895,419.83962059020996,True,2026-01-17T16:02:19.430202,,,,,
performance,Mid,9.0,1060.1391792297363,1229.0,43.829214001622255,411.6208553314209,True,2026-01-17T16:02:23.399094,,,,,
subjective,Mid,,,,,,,2026-01-17T16:03:42.339340,6.0,6.0,7.0,1.0,6.0
performance,Low,0.0,1974.1864204406738,3107.0,16.278820596099706,463.8638496398926,True,2026-01-17T16:03:48.325919,,,,,
performance,Low,1.0,1146.634578704834,2148.0,81.25269226308751,407.3357582092285,True,2026-01-17T16:03:52.385215,,,,,
performance,Low,2.0,1261.340618133545,1803.0,58.077534382926416,411.04602813720703,True,2026-01-17T16:03:56.561688,,,,,
performance,Low,3.0,1491.1408424377441,2627.0,52.392747589718944,437.87646293640137,True,2026-01-17T16:04:00.970630,,,,,
performance,Low,4.0,1126.793384552002,3017.0,71.02816342831905,467.0145511627197,True,2026-01-17T16:04:05.010208,,,,,
performance,Low,5.0,1259.3228816986084,336.0,59.43904440685432,464.8613929748535,True,2026-01-17T16:04:09.178984,,,,,
performance,Low,6.0,1122.5416660308838,976.0,88.02272433866155,418.34259033203125,True,2026-01-17T16:04:13.216536,,,,,
performance,Low,7.0,1300.286054611206,502.0,62.16912416947821,448.9152431488037,True,2026-01-17T16:04:17.426513,,,,,
performance,Low,8.0,1294.175386428833,370.0,51.54609587543949,441.7855739593506,True,2026-01-17T16:04:21.635705,,,,,
performance,Low,9.0,1077.1634578704834,2690.0,69.52697318307479,416.64838790893555,True,2026-01-17T16:04:25.635533,,,,,
subjective,Low,,,,,,,2026-01-17T16:04:55.735902,5.0,5.0,1.0,1.0,5.0
performance,High,0.0,1409.8572731018066,2460.0,25.80697580112788,474.959135055542,True,2026-01-17T16:04:59.720214,,,,,
performance,High,1.0,1093.2953357696533,2412.0,24.698178070456937,397.768497467041,True,2026-01-17T16:05:03.723089,,,,,
performance,High,2.0,804.023027420044,2207.0,20.0,422.9710102081299,True,2026-01-17T16:05:07.436452,,,,,
performance,High,3.0,1325.4365921020508,614.0,23.08679276123039,441.4992332458496,True,2026-01-17T16:05:11.667901,,,,,
performance,High,4.0,1137.4146938323975,390.0,25.079872407968907,398.35357666015625,True,2026-01-17T16:05:15.714422,,,,,
performance,High,5.0,1204.421043395996,421.0,22.02271554554524,411.3645553588867,True,2026-01-17T16:05:19.820768,,,,,
performance,High,6.0,1168.6294078826904,2907.0,16.401219466856727,428.1489849090576,True,2026-01-17T16:05:23.891790,,,,,
performance,High,7.0,1111.0177040100098,256.0,20.248456731316587,411.8833541870117,True,2026-01-17T16:05:27.915928,,,,,
performance,High,8.0,1012.8741264343262,2572.0,17.804493814764857,455.3830623626709,True,2026-01-17T16:05:31.837818,,,,,
performance,High,9.0,1780.3068161010742,116.0,25.238858928247925,412.25218772888184,True,2026-01-17T16:05:36.522177,,,,,
subjective,High,,,,,,,2026-01-17T16:06:00.200189,7.0,7.0,7.0,1.0,7.0
