type,condition,trial_id,operation_time_ms,mouse_distance_px,jump_offset_px,jump_trigger_time_ms,success,timestamp,predict,control,recover,disorient,accept
performance,Mid,0.0,1469.573974609375,2830.0,55.44366510251645,591.6492938995361,True,2026-01-15T16:02:39.341113,,,,,
performance,Mid,1.0,1293.6162948608398,316.0,46.57252408878007,552.5999069213867,True,2026-01-15T16:02:43.542359,,,,,
performance,Mid,2.0,1023.4622955322266,625.0,51.884487084291386,450.47688484191895,True,2026-01-15T16:02:47.469755,,,,,
performance,Mid,3.0,1045.936107635498,399.0,50.15974481593781,510.70356369018555,True,2026-01-15T16:02:51.430883,,,,,
performance,Mid,4.0,1030.4219722747803,2438.0,41.72529209005013,528.7747383117676,True,2026-01-15T16:02:55.366725,,,,,
performance,Mid,5.0,1162.2765064239502,424.0,38.91015291668744,444.50855255126953,True,2026-01-15T16:02:59.437765,,,,,
performance,Mid,6.0,1044.6698665618896,1964.0,56.0357029044876,500.704288482666,True,2026-01-15T16:03:03.407818,,,,,
performance,Mid,7.0,1197.1685886383057,515.0,46.32493928760188,535.2528095245361,True,2026-01-15T16:03:07.527728,,,,,
performance,Mid,8.0,1183.2709312438965,405.0,34.713109915419565,430.6309223175049,True,2026-01-15T16:03:11.617406,,,,,
performance,Mid,9.0,1766.2022113800049,824.0,48.84669896727925,499.9251365661621,True,2026-01-15T16:03:16.292156,,,,,
subjective,Mid,,,,,,,2026-01-15T16:04:36.918536,6.0,7.0,7.0,7.0,7.0
performance,Low,0.0,1383.8896751403809,2926.0,91.67878707749138,482.8016757965088,True,2026-01-15T16:04:47.417349,,,,,
performance,Low,1.0,1521.6188430786133,1110.0,94.02127418834527,460.7424736022949,True,2026-01-15T16:04:51.848675,,,,,
performance,Low,2.0,1287.2602939605713,2660.0,70.61161377563892,458.09268951416016,True,2026-01-15T16:04:56.049056,,,,,
performance,Low,3.0,928.9238452911377,3186.0,64.35060217278468,282.3324203491211,True,2026-01-15T16:04:59.898154,,,,,
performance,Low,4.0,1093.0113792419434,508.0,61.61168720299745,470.89409828186035,True,2026-01-15T16:05:03.907013,,,,,
performance,Low,5.0,1980.3686141967773,213.0,73.348483283569,426.21350288391113,True,2026-01-15T16:05:08.808010,,,,,
performance,Low,6.0,1010.0150108337402,1149.0,70.178344238091,494.64964866638184,True,2026-01-15T16:05:12.730829,,,,,
performance,Low,7.0,1346.0400104522705,1371.0,38.27531841800928,518.4776782989502,True,2026-01-15T16:05:16.977885,,,,,
performance,Low,8.0,1059.3674182891846,3692.0,97.75479527879949,445.70016860961914,True,2026-01-15T16:05:20.954121,,,,,
performance,Low,9.0,1800.055742263794,770.0,90.97252332435328,467.9372310638428,True,2026-01-15T16:05:25.671793,,,,,
subjective,Low,,,,,,,2026-01-15T16:05:50.471688,6.0,7.0,7.0,7.0,7.0
performance,High,0.0,1002.9394626617432,853.0,25.059928172283335,492.63453483581543,True,2026-01-15T16:05:55.091183,,,,,
performance,High,1.0,1424.51810836792,2724.0,25.298221281347036,429.19325828552246,True,2026-01-15T16:05:59.433469,,,,,
performance,High,2.0,932.0197105407715,2206.0,29.154759474226502,441.5163993835449,True,2026-01-15T16:06:03.267411,,,,,
performance,High,3.0,1081.8843841552734,3121.0,18.384776310850235,500.2443790435791,True,2026-01-15T16:06:07.260653,,,,,
performance,High,4.0,981.8978309631348,350.0,28.0178514522438,472.1088409423828,True,2026-01-15T16:06:11.155448,,,,,
performance,High,5.0,1042.3088073730469,239.0,24.186773244895647,474.2004871368408,True,2026-01-15T16:06:15.101925,,,,,
performance,High,6.0,984.699010848999,379.0,27.459060435491963,488.5263442993164,True,2026-01-15T16:06:18.997051,,,,,
performance,High,7.0,1078.0425071716309,533.0,14.0,538.670539855957,True,2026-01-15T16:06:22.979166,,,,,
performance,High,8.0,1061.5601539611816,2646.0,22.0,520.1315879821777,True,2026-01-15T16:06:26.948558,,,,,
performance,High,9.0,1105.6911945343018,3069.0,9.848857801796104,550.788164138794,True,2026-01-15T16:06:30.962359,,,,,
subjective,High,,,,,,,2026-01-15T16:06:52.566132,7.0,7.0,7.0,6.0,7.0
2 3 1
