type,condition,trial_id,operation_time_ms,mouse_distance_px,jump_offset_px,jump_trigger_time_ms,success,timestamp,predict,control,recover,disorient,accept
performance,High,0.0,1377.2881031036377,2615.0,24.166091947189145,435.42981147766113,True,2026-01-16T15:02:09.791688,,,,,
performance,High,1.0,1301.6631603240967,711.0,28.861739379323623,455.16490936279297,True,2026-01-16T15:02:13.998490,,,,,
performance,High,2.0,1343.9252376556396,805.0,21.840329667841555,434.83662605285645,True,2026-01-16T15:02:18.254512,,,,,
performance,High,3.0,1295.38893699646,228.0,25.179356624028344,420.5892086029053,True,2026-01-16T15:02:22.463241,,,,,
performance,High,4.0,1307.2013854980469,406.0,12.083045973594572,413.1896495819092,True,2026-01-16T15:02:26.671368,,,,,
performance,High,5.0,1208.2672119140625,568.0,25.495097567963924,398.3805179595947,True,2026-01-16T15:02:30.799771,,,,,
performance,High,6.0,933.3758354187012,629.0,10.0,409.98172760009766,True,2026-01-16T15:02:34.639379,,,,,
performance,High,7.0,920.6182956695557,699.0,8.54400374531753,434.6895217895508,True,2026-01-16T15:02:38.471810,,,,,
performance,High,8.0,1036.5071296691895,574.0,13.416407864998739,401.23581886291504,True,2026-01-16T15:02:42.415024,,,,,
performance,High,9.0,1108.3095073699951,315.0,25.495097567963924,424.40247535705566,True,2026-01-16T15:02:46.431080,,,,,
subjective,High,,,,,,,2026-01-16T15:03:27.526175,7.0,7.0,7.0,5.0,7.0
performance,Mid,0.0,1162.8599166870117,2580.0,36.124783736376884,462.76187896728516,True,2026-01-16T15:03:33.825368,,,,,
performance,Mid,1.0,1103.0685901641846,199.0,31.89043743820395,424.3946075439453,True,2026-01-16T15:03:37.834403,,,,,
performance,Mid,2.0,1295.6175804138184,434.0,52.009614495783374,410.3996753692627,True,2026-01-16T15:03:42.040144,,,,,
performance,Mid,3.0,1311.5935325622559,646.0,50.15974481593781,464.77198600769043,True,2026-01-16T15:03:46.258968,,,,,
performance,Mid,4.0,1274.6202945709229,3134.0,50.00999900019995,451.1551856994629,True,2026-01-16T15:03:50.442411,,,,,
performance,Mid,5.0,1132.380485534668,175.0,59.665735560705194,423.04205894470215,True,2026-01-16T15:03:54.489028,,,,,
performance,Mid,6.0,1313.9820098876953,3240.0,55.14526271584895,463.5140895843506,True,2026-01-16T15:03:58.714733,,,,,
performance,Mid,7.0,1313.5318756103516,3311.0,55.17245689653489,413.693904876709,True,2026-01-16T15:04:02.952702,,,,,
performance,Mid,8.0,1291.368007659912,2667.0,51.07837115648854,429.60071563720703,True,2026-01-16T15:04:07.154056,,,,,
performance,Mid,9.0,1106.1582565307617,2266.0,39.05124837953327,410.5081558227539,True,2026-01-16T15:04:11.180124,,,,,
subjective,Mid,,,,,,,2026-01-16T15:04:25.577207,7.0,7.0,7.0,6.0,7.0
performance,Low,0.0,1287.0023250579834,2029.0,82.29216244576394,439.82601165771484,True,2026-01-16T15:04:29.538600,,,,,
performance,Low,1.0,1239.7711277008057,2681.0,83.60023923410746,403.34463119506836,True,2026-01-16T15:04:33.691628,,,,,
performance,Low,2.0,1548.7399101257324,2821.0,84.75848040166836,384.4923973083496,True,2026-01-16T15:04:38.146235,,,,,
performance,Low,3.0,1340.4541015625,621.0,95.34149149242423,405.2140712738037,True,2026-01-16T15:04:42.395435,,,,,
performance,Low,4.0,1339.8995399475098,2317.0,62.48199740725323,382.3730945587158,True,2026-01-16T15:04:46.643414,,,,,
performance,Low,5.0,1378.1962394714355,2092.0,84.43340571124678,402.21428871154785,True,2026-01-16T15:04:50.931628,,,,,
performance,Low,6.0,1288.4507179260254,471.0,92.91393867445294,419.82579231262207,True,2026-01-16T15:04:55.130445,,,,,
performance,Low,7.0,1045.8853244781494,2475.0,47.853944456021594,408.7979793548584,True,2026-01-16T15:04:59.090545,,,,,
performance,Low,8.0,1157.4840545654297,2608.0,93.14504817756014,375.6718635559082,True,2026-01-16T15:05:03.170807,,,,,
performance,Low,9.0,1219.045877456665,668.0,65.19202405202648,406.7552089691162,True,2026-01-16T15:05:07.299217,,,,,
subjective,Low,,,,,,,2026-01-16T15:05:25.638017,6.0,6.0,6.0,6.0,7.0
1 2 3
