type,condition,trial_id,operation_time_ms,mouse_distance_px,jump_offset_px,jump_trigger_time_ms,success,timestamp,predict,control,recover,disorient,accept
performance,Low,0.0,1208.7726593017578,2451.0,18.384776310850235,538.2318496704102,True,2026-01-15T19:24:08.825225,,,,,
performance,Low,1.0,1321.5534687042236,731.0,96.67471230885562,546.0219383239746,True,2026-01-15T19:24:13.057160,,,,,
performance,Low,2.0,1153.4442901611328,1846.0,72.86288492778748,586.1022472381592,True,2026-01-15T19:24:17.121187,,,,,
performance,Low,3.0,1158.1010818481445,2530.0,65.60487786742691,384.1395378112793,True,2026-01-15T19:24:21.184474,,,,,
performance,Low,4.0,1536.4809036254883,529.0,81.0,490.0662899017334,True,2026-01-15T19:24:25.632476,,,,,
performance,Low,5.0,1298.8605499267578,884.0,82.41965784932621,507.488489151001,True,2026-01-15T19:24:29.840507,,,,,
performance,Low,6.0,1264.7619247436523,707.0,57.706152185014034,466.4649963378906,True,2026-01-15T19:24:34.008181,,,,,
performance,Low,7.0,1346.4159965515137,211.0,77.3692445355388,531.1274528503418,True,2026-01-15T19:24:38.265893,,,,,
performance,Low,8.0,1193.6988830566406,412.0,78.5175139698144,489.96782302856445,True,2026-01-15T19:24:42.362521,,,,,
performance,Low,9.0,1146.5446949005127,650.0,92.76313923105448,507.48705863952637,True,2026-01-15T19:24:46.426252,,,,,
subjective,Low,,,,,,,2026-01-15T19:25:20.951349,1.0,7.0,7.0,6.0,7.0
performance,High,0.0,1066.439151763916,2823.0,28.635642126552707,468.2350158691406,True,2026-01-15T19:25:25.458036,,,,,
performance,High,1.0,1220.66330909729,356.0,22.80350850198276,551.8512725830078,True,2026-01-15T19:25:29.594301,,,,,
performance,High,2.0,1148.0457782745361,394.0,18.0,269.6347236633301,True,2026-01-15T19:25:33.658509,,,,,
performance,High,3.0,1192.3105716705322,2740.0,29.068883707497267,608.8888645172119,True,2026-01-15T19:25:37.763647,,,,,
performance,High,4.0,1128.6203861236572,747.0,12.529964086141668,482.6521873474121,True,2026-01-15T19:25:41.794943,,,,,
performance,High,5.0,1103.0051708221436,367.0,16.76305461424021,285.60662269592285,True,2026-01-15T19:25:45.804843,,,,,
performance,High,6.0,995.1682090759277,2577.0,15.231546211727817,461.35830879211426,True,2026-01-15T19:25:49.715596,,,,,
performance,High,7.0,1035.1998805999756,2378.0,26.870057685088806,500.3647804260254,True,2026-01-15T19:25:53.650784,,,,,
performance,High,8.0,987.3733520507812,2305.0,26.68332812825267,495.8207607269287,True,2026-01-15T19:25:57.546532,,,,,
performance,High,9.0,1128.4763813018799,736.0,25.317977802344327,474.8077392578125,True,2026-01-15T19:26:01.579034,,,,,
subjective,High,,,,,,,2026-01-15T19:26:19.817986,6.0,7.0,7.0,7.0,7.0
performance,Mid,0.0,2288.700819015503,588.0,51.03920062069938,549.9475002288818,True,2026-01-15T19:26:27.017301,,,,,
performance,Mid,1.0,1188.077449798584,2719.0,45.044422518220834,477.48374938964844,True,2026-01-15T19:26:31.124156,,,,,
performance,Mid,2.0,1111.7372512817383,456.0,51.478150704935004,481.13250732421875,True,2026-01-15T19:26:35.140885,,,,,
performance,Mid,3.0,1062.2925758361816,338.0,47.0,510.00046730041504,True,2026-01-15T19:26:39.125115,,,,,
performance,Mid,4.0,998.5580444335938,217.0,45.27692569068709,329.2427062988281,True,2026-01-15T19:26:43.020188,,,,,
performance,Mid,5.0,1219.4137573242188,946.0,54.08326913195984,484.210729598999,True,2026-01-15T19:26:47.149503,,,,,
performance,Mid,6.0,1492.508888244629,2930.0,36.124783736376884,560.0595474243164,True,2026-01-15T19:26:51.557828,,,,,
performance,Mid,7.0,1088.1845951080322,2321.0,35.6931365951495,515.2416229248047,True,2026-01-15T19:26:55.548701,,,,,
performance,Mid,8.0,1084.5799446105957,797.0,37.20215047547655,486.50550842285156,True,2026-01-15T19:26:59.542241,,,,,
performance,Mid,9.0,998.7196922302246,100.0,33.95585369269929,463.42945098876953,True,2026-01-15T19:27:03.447053,,,,,
subjective,Mid,,,,,,,2026-01-15T19:27:21.699374,7.0,7.0,7.0,7.0,7.0
3 1 2
