type,condition,trial_id,operation_time_ms,mouse_distance_px,jump_offset_px,jump_trigger_time_ms,success,timestamp,predict,control,recover,disorient,accept
performance,Low,0.0,1716.5443897247314,3035.0,52.61178575186362,495.7733154296875,True,2026-01-17T10:03:30.058559,,,,,
performance,Low,1.0,1647.6202011108398,2713.0,27.313000567495326,531.3913822174072,True,2026-01-17T10:03:34.625852,,,,,
performance,Low,2.0,1609.3645095825195,3125.0,64.19501538281614,644.8724269866943,True,2026-01-17T10:03:39.146210,,,,,
performance,Low,3.0,1772.6719379425049,1383.0,84.34453153583817,562.9231929779053,True,2026-01-17T10:03:43.825233,,,,,
performance,Low,4.0,1598.405361175537,256.0,85.7962703152066,620.6824779510498,True,2026-01-17T10:03:48.329818,,,,,
performance,Low,5.0,2024.0452289581299,4096.0,95.4148835350125,541.2898063659668,True,2026-01-17T10:03:53.266193,,,,,
performance,Low,6.0,1743.08180809021,2621.0,69.0,469.2556858062744,True,2026-01-17T10:03:57.922261,,,,,
performance,Low,7.0,1465.388536453247,643.0,45.18849411078001,440.471887588501,True,2026-01-17T10:04:02.298081,,,,,
performance,Low,8.0,1319.2970752716064,410.0,92.04890004774636,493.31045150756836,True,2026-01-17T10:04:06.529538,,,,,
performance,Low,9.0,1533.865213394165,482.0,72.83543093852057,441.5109157562256,True,2026-01-17T10:04:10.970994,,,,,
subjective,Low,,,,,,,2026-01-17T10:04:58.056707,4.0,7.0,7.0,5.0,7.0
performance,High,0.0,1514.1842365264893,567.0,28.231188426986208,527.8666019439697,True,2026-01-17T10:05:05.364883,,,,,
performance,High,1.0,1606.9481372833252,1856.0,22.561028345356956,532.8741073608398,True,2026-01-17T10:05:09.883200,,,,,
performance,High,2.0,1149.024486541748,1120.0,26.076809620810597,541.1665439605713,True,2026-01-17T10:05:13.947274,,,,,
performance,High,3.0,1151.8983840942383,591.0,4.242640687119285,451.92527770996094,True,2026-01-17T10:05:18.004373,,,,,
performance,High,4.0,1262.4280452728271,865.0,8.94427190999916,450.89221000671387,True,2026-01-17T10:05:22.180113,,,,,
performance,High,5.0,1336.8730545043945,3094.0,19.0,451.9655704498291,True,2026-01-17T10:05:26.429841,,,,,
performance,High,6.0,2034.632682800293,462.0,8.246211251235321,422.7449893951416,True,2026-01-17T10:05:31.381910,,,,,
performance,High,7.0,1435.8594417572021,3434.0,24.0,480.1294803619385,True,2026-01-17T10:05:35.732464,,,,,
performance,High,8.0,1610.0845336914062,2933.0,23.345235059857504,579.5581340789795,True,2026-01-17T10:05:40.270529,,,,,
performance,High,9.0,1301.8784523010254,3469.0,23.021728866442675,523.5776901245117,True,2026-01-17T10:05:44.485003,,,,,
subjective,High,,,,,,,2026-01-17T10:06:09.018904,5.0,7.0,6.0,5.0,7.0
performance,Mid,0.0,1368.6699867248535,2318.0,57.48912940721924,493.79444122314453,True,2026-01-17T10:06:13.478186,,,,,
performance,Mid,1.0,1153.9335250854492,839.0,58.309518948453004,456.58206939697266,True,2026-01-17T10:06:17.541485,,,,,
performance,Mid,2.0,1096.8844890594482,1352.0,57.14017850864661,463.87529373168945,True,2026-01-17T10:06:21.541687,,,,,
performance,Mid,3.0,1145.0440883636475,743.0,54.589376255824725,421.21005058288574,True,2026-01-17T10:06:25.598034,,,,,
performance,Mid,4.0,1202.2919654846191,1111.0,38.91015291668744,400.32029151916504,True,2026-01-17T10:06:29.709588,,,,,
performance,Mid,5.0,1227.9133796691895,1371.0,58.89821729050889,381.08134269714355,True,2026-01-17T10:06:33.849292,,,,,
performance,Mid,6.0,1062.6661777496338,589.0,50.00999900019995,290.9674644470215,True,2026-01-17T10:06:37.823162,,,,,
performance,Mid,7.0,1039.5214557647705,304.0,55.226805085936306,,True,2026-01-17T10:06:41.765223,,,,,
performance,Mid,8.0,1054.9812316894531,574.0,56.08029957123981,394.5329189300537,True,2026-01-17T10:06:45.742574,,,,,
performance,Mid,9.0,1254.5626163482666,1222.0,47.042533945356304,563.4052753448486,True,2026-01-17T10:06:49.901792,,,,,
subjective,Mid,,,,,,,2026-01-17T10:07:10.907380,6.0,7.0,7.0,4.0,7.0
